Country,Trade,Value_USD,Month,Year
Cameroon,Export,0,7,2015
Cameroon,Import,6212504,7,2015
Cameroon,Export,0,8,2015
Cameroon,Import,11523224,8,2015
Cameroon,Export,0,9,2015
Cameroon,Import,13819991,9,2015
Cameroon,Export,0,10,2015
Cameroon,Import,12922313,10,2015
Cameroon,Export,0,11,2015
Cameroon,Import,18692251,11,2015
Cameroon,Export,0,12,2015
Cameroon,Import,17752270,12,2015
Canada,Export,177724551,1,2015
Canada,Import,21202457,1,2015
Canada,Export,119552809,2,2015
Canada,Import,47684200,2,2015
Canada,Export,191325234,3,2015
Canada,Import,27265146,3,2015
Canada,Export,216679950,4,2015
Canada,Import,36029090,4,2015
Canada,Export,241681871,5,2015
Canada,Import,41061633,5,2015
Canada,Export,248683949,6,2015
Canada,Import,40315344,6,2015
Canada,Export,236384708,7,2015
Canada,Import,50339268,7,2015
Canada,Export,204616334,8,2015
Canada,Import,50959977,8,2015
Canada,Export,180577724,9,2015
Canada,Import,42983763,9,2015
Canada,Export,211371718,10,2015
Canada,Import,35078980,10,2015
Canada,Export,202510444,11,2015
Canada,Import,30127277,11,2015
Canada,Export,197483010,12,2015
Canada,Import,34405102,12,2015
Chile,Export,46171396,1,2015
Chile,Import,28237187,1,2015
Chile,Export,38610242,2,2015
Chile,Import,15151309,2,2015
Chile,Export,62634672,3,2015
Chile,Import,36432914,3,2015
Chile,Export,57426861,4,2015
Chile,Import,23983512,4,2015
Chile,Export,65798287,5,2015
Chile,Import,28068724,5,2015
Chile,Export,57285181,6,2015
Chile,Import,25287363,6,2015
Chile,Export,49265536,7,2015
Chile,Import,22743386,7,2015
Chile,Export,49542667,8,2015
Chile,Import,21508806,8,2015
Chile,Export,63480746,9,2015
Chile,Import,23659267,9,2015
Chile,Export,62805736,10,2015
Chile,Import,23504852,10,2015
Chile,Export,57247794,11,2015
Chile,Import,23315169,11,2015
Chile,Export,45415453,12,2015
Chile,Import,22889523,12,2015
"China, PR",Export,1314632650,1,2015
"China, PR",Import,4481510537,1,2015
"China, PR",Export,898493338,2,2015
"China, PR",Import,3181617622,2,2015
"China, PR",Export,1357350102,3,2015
"China, PR",Import,4022692011,3,2015
"China, PR",Export,1305757026,4,2015
"China, PR",Import,3934649488,4,2015
"China, PR",Export,1405337256,5,2015
"China, PR",Import,4679541724,5,2015
"China, PR",Export,1510029837,6,2015
"China, PR",Import,4441187682,6,2015
"China, PR",Export,1347955586,7,2015
"China, PR",Import,4364579477,7,2015
"China, PR",Export,1567309716,8,2015
"China, PR",Import,4242040678,8,2015
"China, PR",Export,1409634513,9,2015
"China, PR",Import,4196374281,9,2015
"China, PR",Export,1574511537,10,2015
"China, PR",Import,4127171430,10,2015
"China, PR",Export,1525655132,11,2015
"China, PR",Import,4216224318,11,2015
"China, PR",Export,1651752867,12,2015
"China, PR",Import,4438945648,12,2015
Croatia,Export,2749535,1,2015
Croatia,Import,1589300,1,2015
Croatia,Export,2443124,2,2015
Croatia,Import,1010521,2,2015
Croatia,Export,2613910,3,2015
Croatia,Import,4841201,3,2015
Croatia,Export,2168321,4,2015
Croatia,Import,1392353,4,2015
Croatia,Export,2652828,5,2015
Croatia,Import,2334230,5,2015
Croatia,Export,2585029,6,2015
Croatia,Import,1619780,6,2015
Croatia,Export,3404350,7,2015
Croatia,Import,1853130,7,2015
Croatia,Export,3213963,8,2015
Croatia,Import,1723144,8,2015
Croatia,Export,2175648,9,2015
Croatia,Import,2209020,9,2015
Croatia,Export,3275612,10,2015
Croatia,Import,1872659,10,2015
Croatia,Export,2159903,11,2015
Croatia,Import,1010659,11,2015
Croatia,Export,3319457,12,2015
Croatia,Import,2191386,12,2015
Cyprus,Export,3224878,1,2015
Cyprus,Import,723710,1,2015
Cyprus,Export,2105405,2,2015
Cyprus,Import,2064445,2,2015
Cyprus,Export,2483219,3,2015
Cyprus,Import,2833876,3,2015
Cyprus,Export,3280085,4,2015
Cyprus,Import,2968863,4,2015
Cyprus,Export,2622293,5,2015
Cyprus,Import,1386917,5,2015
Cyprus,Export,3701879,6,2015
Cyprus,Import,2301957,6,2015
Cyprus,Export,2959756,7,2015
Cyprus,Import,1012610,7,2015
Cyprus,Export,2342959,8,2015
Cyprus,Import,745695,8,2015
Cyprus,Export,2613006,9,2015
Cyprus,Import,2157581,9,2015
Cyprus,Export,2323772,10,2015
Cyprus,Import,1698406,10,2015
Cyprus,Export,2373430,11,2015
Cyprus,Import,3376741,11,2015
Cyprus,Export,3406749,12,2015
Cyprus,Import,4001877,12,2015
Czech Republic,Export,15408787,1,2015
Czech Republic,Import,5687529,1,2015
Czech Republic,Export,9308048,2,2015
Czech Republic,Import,6176913,2,2015
Czech Republic,Export,11625394,3,2015
Czech Republic,Import,6778991,3,2015
Czech Republic,Export,12639188,4,2015
Czech Republic,Import,5254522,4,2015
Czech Republic,Export,15879140,5,2015
Czech Republic,Import,6435973,5,2015
Czech Republic,Export,16170105,6,2015
Czech Republic,Import,8326636,6,2015
Czech Republic,Export,15992275,7,2015
Czech Republic,Import,7007977,7,2015
Czech Republic,Export,14527829,8,2015
Czech Republic,Import,7569006,8,2015
Czech Republic,Export,12908404,9,2015
Czech Republic,Import,5496748,9,2015
Czech Republic,Export,11297253,10,2015
Czech Republic,Import,6404255,10,2015
Czech Republic,Export,20830599,11,2015
Czech Republic,Import,5833532,11,2015
Czech Republic,Export,14920762,12,2015
Czech Republic,Import,7614583,12,2015
Côte d'lvoire,Export,24338684,1,2015
Côte d'lvoire,Import,3813233,1,2015
Côte d'lvoire,Export,1972358,2,2015
Côte d'lvoire,Import,4696227,2,2015
Côte d'lvoire,Export,2722668,3,2015
Côte d'lvoire,Import,7418295,3,2015
Côte d'lvoire,Export,4206476,4,2015
Côte d'lvoire,Import,13021454,4,2015
Côte d'lvoire,Export,21912353,5,2015
Côte d'lvoire,Import,54512292,5,2015
Côte d'lvoire,Export,3245079,6,2015
Côte d'lvoire,Import,100954650,6,2015
Côte d'lvoire,Export,26366881,7,2015
Côte d'lvoire,Import,91577631,7,2015
Côte d'lvoire,Export,22572215,8,2015
Côte d'lvoire,Import,110311684,8,2015
Côte d'lvoire,Export,2183467,9,2015
Côte d'lvoire,Import,36853664,9,2015
Côte d'lvoire,Export,4957182,10,2015
Côte d'lvoire,Import,15624426,10,2015
Côte d'lvoire,Export,21293657,11,2015
Côte d'lvoire,Import,9393124,11,2015
Côte d'lvoire,Export,2936947,12,2015
Côte d'lvoire,Import,4830034,12,2015
Denmark,Export,34847537,1,2015
Denmark,Import,12954363,1,2015
Denmark,Export,20854998,2,2015
Denmark,Import,9057698,2,2015
Denmark,Export,24056568,3,2015
Denmark,Import,22700368,3,2015
Denmark,Export,25364109,4,2015
Denmark,Import,15306453,4,2015
Denmark,Export,23246723,5,2015
Denmark,Import,20758800,5,2015
Denmark,Export,26900054,6,2015
Denmark,Import,19282561,6,2015
Denmark,Export,24382645,7,2015
Denmark,Import,35323359,7,2015
Denmark,Export,20020059,8,2015
Denmark,Import,22204168,8,2015
Denmark,Export,15006477,9,2015
Denmark,Import,17693549,9,2015
Denmark,Export,21972276,10,2015
Denmark,Import,27348192,10,2015
Denmark,Export,24182290,11,2015
Denmark,Import,19433430,11,2015
Denmark,Export,31960341,12,2015
Denmark,Import,22854056,12,2015
Estonia,Export,2141457,1,2015
Estonia,Import,1435797,1,2015
Estonia,Export,1083103,2,2015
Estonia,Import,1153783,2,2015
Estonia,Export,1518901,3,2015
Estonia,Import,3914887,3,2015
Estonia,Export,1504998,4,2015
Estonia,Import,1700832,4,2015
Estonia,Export,1695068,5,2015
Estonia,Import,2316119,5,2015
Estonia,Export,3040079,6,2015
Estonia,Import,941995,6,2015
Estonia,Export,3129477,7,2015
Estonia,Import,361729,7,2015
Estonia,Export,2059991,8,2015
Estonia,Import,1573532,8,2015
Estonia,Export,1480261,9,2015
Estonia,Import,578839,9,2015
Estonia,Export,2219807,10,2015
Estonia,Import,2935098,10,2015
Estonia,Export,2634998,11,2015
Estonia,Import,781274,11,2015
Estonia,Export,3250958,12,2015
Estonia,Import,1627045,12,2015
FR. Germany,Export,553805885,1,2015
FR. Germany,Import,224991281,1,2015
FR. Germany,Export,361059972,2,2015
FR. Germany,Import,150290473,2,2015
FR. Germany,Export,482720884,3,2015
FR. Germany,Import,209317716,3,2015
FR. Germany,Export,460472974,4,2015
FR. Germany,Import,217358337,4,2015
FR. Germany,Export,489376853,5,2015
FR. Germany,Import,207785830,5,2015
FR. Germany,Export,508081002,6,2015
FR. Germany,Import,194521442,6,2015
FR. Germany,Export,468220036,7,2015
FR. Germany,Import,248303677,7,2015
FR. Germany,Export,461120371,8,2015
FR. Germany,Import,310435026,8,2015
FR. Germany,Export,444299919,9,2015
FR. Germany,Import,242655094,9,2015
FR. Germany,Export,473015085,10,2015
FR. Germany,Import,223817689,10,2015
FR. Germany,Export,483985743,11,2015
FR. Germany,Import,212515699,11,2015
FR. Germany,Export,557206074,12,2015
FR. Germany,Import,318053912,12,2015
Finland,Export,9716515,1,2015
Finland,Import,20956808,1,2015
Finland,Export,7934544,2,2015
Finland,Import,14023317,2,2015
Finland,Export,10282797,3,2015
Finland,Import,17544143,3,2015
Finland,Export,7542802,4,2015
Finland,Import,14076935,4,2015
Finland,Export,10510750,5,2015
Finland,Import,15626243,5,2015
Finland,Export,10113111,6,2015
Finland,Import,23637631,6,2015
Finland,Export,12959966,7,2015
Finland,Import,21712832,7,2015
Finland,Export,8910407,8,2015
Finland,Import,10107495,8,2015
Finland,Export,8003552,9,2015
Finland,Import,14634939,9,2015
Finland,Export,8231576,10,2015
Finland,Import,16583570,10,2015
Finland,Export,12997758,11,2015
Finland,Import,17383513,11,2015
Finland,Export,11301890,12,2015
Finland,Import,24194481,12,2015
France,Export,259476343,1,2015
France,Import,106535958,1,2015
France,Export,154215698,2,2015
France,Import,83564958,2,2015
France,Export,235203513,3,2015
France,Import,123945634,3,2015
France,Export,213540252,4,2015
France,Import,84060626,4,2015
France,Export,235823105,5,2015
France,Import,99537375,5,2015
France,Export,269844472,6,2015
France,Import,95904116,6,2015
France,Export,242169809,7,2015
France,Import,143821961,7,2015
France,Export,274702189,8,2015
France,Import,79866777,8,2015
France,Export,244035545,9,2015
France,Import,315999105,9,2015
France,Export,282875460,10,2015
France,Import,88039351,10,2015
France,Export,301879124,11,2015
France,Import,167874770,11,2015
France,Export,251224738,12,2015
France,Import,107732138,12,2015
Greece,Export,14979003,1,2015
Greece,Import,4535154,1,2015
Greece,Export,9968892,2,2015
Greece,Import,1490390,2,2015
Greece,Export,19902098,3,2015
Greece,Import,2487286,3,2015
Greece,Export,17206316,4,2015
Greece,Import,750616,4,2015
Greece,Export,16983452,5,2015
Greece,Import,2810907,5,2015
Greece,Export,14793264,6,2015
Greece,Import,1662347,6,2015
Greece,Export,5185680,7,2015
Greece,Import,2626900,7,2015
Greece,Export,8824244,8,2015
Greece,Import,3064213,8,2015
Greece,Export,16398973,9,2015
Greece,Import,1576982,9,2015
Greece,Export,18908772,10,2015
Greece,Import,2110490,10,2015
Greece,Export,14356549,11,2015
Greece,Import,2333405,11,2015
Greece,Export,10862446,12,2015
Greece,Import,3168550,12,2015
Hong Kong SAR (China),Export,518917780,1,2015
Hong Kong SAR (China),Import,92775332,1,2015
Hong Kong SAR (China),Export,347338920,2,2015
Hong Kong SAR (China),Import,67223426,2,2015
Hong Kong SAR (China),Export,605444005,3,2015
Hong Kong SAR (China),Import,115064678,3,2015
Hong Kong SAR (China),Export,529999314,4,2015
Hong Kong SAR (China),Import,114515717,4,2015
Hong Kong SAR (China),Export,564710929,5,2015
Hong Kong SAR (China),Import,140059038,5,2015
Hong Kong SAR (China),Export,613639763,6,2015
Hong Kong SAR (China),Import,132080856,6,2015
Hong Kong SAR (China),Export,608912055,7,2015
Hong Kong SAR (China),Import,123273881,7,2015
Hong Kong SAR (China),Export,632529857,8,2015
Hong Kong SAR (China),Import,101843015,8,2015
Hong Kong SAR (China),Export,652678713,9,2015
Hong Kong SAR (China),Import,111179868,9,2015
Hong Kong SAR (China),Export,684043677,10,2015
Hong Kong SAR (China),Import,117762946,10,2015
Hong Kong SAR (China),Export,610260155,11,2015
Hong Kong SAR (China),Import,108900605,11,2015
Hong Kong SAR (China),Export,584526283,12,2015
Hong Kong SAR (China),Import,98230460,12,2015
Hungary,Export,4288531,1,2015
Hungary,Import,8708877,1,2015
Hungary,Export,4242838,2,2015
Hungary,Import,9009327,2,2015
Hungary,Export,5706340,3,2015
Hungary,Import,10824804,3,2015
Hungary,Export,5879763,4,2015
Hungary,Import,6091411,4,2015
Hungary,Export,4685091,5,2015
Hungary,Import,8021852,5,2015
Hungary,Export,4648921,6,2015
Hungary,Import,14662360,6,2015
Hungary,Export,6264908,7,2015
Hungary,Import,7609472,7,2015
Hungary,Export,6544192,8,2015
Hungary,Import,14665514,8,2015
Hungary,Export,5436784,9,2015
Hungary,Import,13133634,9,2015
Hungary,Export,6368790,10,2015
Hungary,Import,13367760,10,2015
Hungary,Export,6236901,11,2015
Hungary,Import,10863696,11,2015
Hungary,Export,5557434,12,2015
Hungary,Import,12465683,12,2015
India,Export,206695225,1,2015
India,Import,260080405,1,2015
India,Export,216129200,2,2015
India,Import,180676496,2,2015
India,Export,223568258,3,2015
India,Import,263371174,3,2015
India,Export,204947523,4,2015
India,Import,214135784,4,2015
India,Export,188395604,5,2015
India,Import,211273670,5,2015
India,Export,186852138,6,2015
India,Import,213216107,6,2015
India,Export,235518124,7,2015
India,Import,226730767,7,2015
India,Export,191185815,8,2015
India,Import,209272670,8,2015
India,Export,207530185,9,2015
India,Import,218556031,9,2015
India,Export,224991100,10,2015
India,Import,221812718,10,2015
India,Export,199312235,11,2015
India,Import,206283686,11,2015
India,Export,202925571,12,2015
India,Import,229343497,12,2015
Indonesia,Export,324318195,1,2015
Indonesia,Import,204369163,1,2015
Indonesia,Export,238665240,2,2015
Indonesia,Import,134727542,2,2015
Indonesia,Export,264896202,3,2015
Indonesia,Import,235863936,3,2015
Indonesia,Export,219768245,4,2015
Indonesia,Import,196086112,4,2015
Indonesia,Export,203215669,5,2015
Indonesia,Import,225785724,5,2015
Indonesia,Export,190934707,6,2015
Indonesia,Import,199554158,6,2015
Indonesia,Export,154859055,7,2015
Indonesia,Import,232542406,7,2015
Indonesia,Export,214666332,8,2015
Indonesia,Import,227581610,8,2015
Indonesia,Export,198453222,9,2015
Indonesia,Import,262386887,9,2015
Indonesia,Export,275318647,10,2015
Indonesia,Import,265687901,10,2015
Indonesia,Export,300773967,11,2015
Indonesia,Import,272662150,11,2015
Indonesia,Export,268882536,12,2015
Indonesia,Import,297509833,12,2015
Ireland,Export,10720292,1,2015
Ireland,Import,13476224,1,2015
Ireland,Export,8308093,2,2015
Ireland,Import,11167625,2,2015
Ireland,Export,9848893,3,2015
Ireland,Import,25648481,3,2015
Ireland,Export,17239907,4,2015
Ireland,Import,27275689,4,2015
Ireland,Export,9433208,5,2015
Ireland,Import,25227891,5,2015
Ireland,Export,9601367,6,2015
Ireland,Import,14540940,6,2015
Ireland,Export,10198579,7,2015
Ireland,Import,18565652,7,2015
Ireland,Export,8945214,8,2015
Ireland,Import,21129414,8,2015
Ireland,Export,7928821,9,2015
Ireland,Import,16187296,9,2015
Ireland,Export,7098349,10,2015
Ireland,Import,39747711,10,2015
Ireland,Export,7291324,11,2015
Ireland,Import,0,11,2015
Ireland,Export,10170373,12,2015
Ireland,Import,37764541,12,2015
Israel,Export,42980408,1,2015
Israel,Import,73528826,1,2015
Israel,Export,24204023,2,2015
Israel,Import,55810386,2,2015
Israel,Export,30426969,3,2015
Israel,Import,99483254,3,2015
Israel,Export,64791879,4,2015
Israel,Import,75888110,4,2015
Israel,Export,65558543,5,2015
Israel,Import,94031613,5,2015
Israel,Export,52057209,6,2015
Israel,Import,98706035,6,2015
Israel,Export,46501702,7,2015
Israel,Import,129145969,7,2015
Israel,Export,42537055,8,2015
Israel,Import,122633593,8,2015
Israel,Export,40502055,9,2015
Israel,Import,105575257,9,2015
Israel,Export,43956557,10,2015
Israel,Import,99234387,10,2015
Israel,Export,41409493,11,2015
Israel,Import,91055690,11,2015
Israel,Export,40039313,12,2015
Israel,Import,120254081,12,2015
Italy,Export,248927553,1,2015
Italy,Import,127137097,1,2015
Italy,Export,186982251,2,2015
Italy,Import,73704881,2,2015
Italy,Export,226014543,3,2015
Italy,Import,125899225,3,2015
Italy,Export,238630421,4,2015
Italy,Import,113060368,4,2015
Italy,Export,285908844,5,2015
Italy,Import,121475862,5,2015
Italy,Export,276711798,6,2015
Italy,Import,139637961,6,2015
Italy,Export,247043589,7,2015
Italy,Import,150741728,7,2015
Italy,Export,223785210,8,2015
Italy,Import,118934170,8,2015
Italy,Export,227207609,9,2015
Italy,Import,121697943,9,2015
Italy,Export,253049165,10,2015
Italy,Import,124364620,10,2015
Italy,Export,260527050,11,2015
Italy,Import,105439726,11,2015
Italy,Export,192169390,12,2015
Italy,Import,144654778,12,2015
Japan,Export,1148043887,1,2015
Japan,Import,1194188228,1,2015
Japan,Export,919384387,2,2015
Japan,Import,962504966,2,2015
Japan,Export,1215687326,3,2015
Japan,Import,1451065570,3,2015
Japan,Export,1198641118,4,2015
Japan,Import,1194516048,4,2015
Japan,Export,1076045375,5,2015
Japan,Import,1269363503,5,2015
Japan,Export,1166988673,6,2015
Japan,Import,1237971913,6,2015
Japan,Export,1306148669,7,2015
Japan,Import,1273740343,7,2015
Japan,Export,1238743471,8,2015
Japan,Import,1159527578,8,2015
Japan,Export,1195222220,9,2015
Japan,Import,1150816782,9,2015
Japan,Export,1198109349,10,2015
Japan,Import,1172745071,10,2015
Japan,Export,1260211790,11,2015
Japan,Import,1148068281,11,2015
Japan,Export,1265894887,12,2015
Japan,Import,1201495949,12,2015
Kazakhstan,Export,0,1,2015
Kazakhstan,Import,1183487,1,2015
Kazakhstan,Export,0,2,2015
Kazakhstan,Import,992013,2,2015
Kazakhstan,Export,0,3,2015
Kazakhstan,Import,542915,3,2015
Kazakhstan,Export,0,4,2015
Kazakhstan,Import,840031,4,2015
Kazakhstan,Export,0,5,2015
Kazakhstan,Import,1181472,5,2015
Kazakhstan,Export,0,6,2015
Kazakhstan,Import,901985,6,2015
Kazakhstan,Export,0,7,2015
Kazakhstan,Import,592014,7,2015
Kazakhstan,Export,0,8,2015
Kazakhstan,Import,119959,8,2015
Kazakhstan,Export,0,9,2015
Kazakhstan,Import,66998,9,2015
Kazakhstan,Export,0,10,2015
Kazakhstan,Import,499333,10,2015
Kazakhstan,Export,0,11,2015
Kazakhstan,Import,984386,11,2015
Kazakhstan,Export,0,12,2015
Kazakhstan,Import,975653,12,2015
Korea,Export,623483299,1,2015
Korea,Import,2124654251,1,2015
Korea,Export,467682776,2,2015
Korea,Import,1965965677,2,2015
Korea,Export,684323514,3,2015
Korea,Import,2489004718,3,2015
Korea,Export,644287778,4,2015
Korea,Import,2292941874,4,2015
Korea,Export,613545486,5,2015
Korea,Import,2470642189,5,2015
Korea,Export,601482145,6,2015
Korea,Import,2417659252,6,2015
Korea,Export,736849694,7,2015
Korea,Import,2560771605,7,2015
Korea,Export,974553698,8,2015
Korea,Import,2281693395,8,2015
Korea,Export,1009893133,9,2015
Korea,Import,2369620681,9,2015
Korea,Export,1035304229,10,2015
Korea,Import,2268383752,10,2015
Korea,Export,786032718,11,2015
Korea,Import,2219629242,11,2015
Korea,Export,745847218,12,2015
Korea,Import,2139479472,12,2015
Kuwait,Export,7960594,1,2015
Kuwait,Import,9231323,1,2015
Kuwait,Export,4448284,2,2015
Kuwait,Import,3771281,2,2015
Kuwait,Export,6440844,3,2015
Kuwait,Import,36759936,3,2015
Kuwait,Export,8842659,4,2015
Kuwait,Import,47260981,4,2015
Kuwait,Export,7400398,5,2015
Kuwait,Import,3942323,5,2015
Kuwait,Export,6901643,6,2015
Kuwait,Import,4158371,6,2015
Kuwait,Export,8439367,7,2015
Kuwait,Import,6525233,7,2015
Kuwait,Export,9053950,8,2015
Kuwait,Import,1404136,8,2015
Kuwait,Export,7046712,9,2015
Kuwait,Import,5006067,9,2015
Kuwait,Export,7603326,10,2015
Kuwait,Import,3542649,10,2015
Kuwait,Export,7157867,11,2015
Kuwait,Import,2555964,11,2015
Kuwait,Export,7179849,12,2015
Kuwait,Import,4799945,12,2015
Lao PDR,Export,53431078,1,2015
Lao PDR,Import,50760961,1,2015
Lao PDR,Export,37241142,2,2015
Lao PDR,Import,51197906,2,2015
Lao PDR,Export,58610666,3,2015
Lao PDR,Import,63772286,3,2015
Lao PDR,Export,54511915,4,2015
Lao PDR,Import,71678562,4,2015
Lao PDR,Export,60416894,5,2015
Lao PDR,Import,66922091,5,2015
Lao PDR,Export,49850828,6,2015
Lao PDR,Import,45478808,6,2015
Lao PDR,Export,42174621,7,2015
Lao PDR,Import,43836064,7,2015
